C:\Users\HP\Desktop\dossier fourtout\DOSSIER PASSATION VNY\DOSSIER EXECUTION\DOSSIER EXECUTION\plans\TRANCHE 05\TRACE COMB VOIRIE DE LA TRANCHE 5.dwg,Model,20/11/2025 13:25:16,HP,PublishToWeb PNG (Transparent).pc3,Sun Hi-Res (1600.00 x 1280.00 Pixels),1:2.86776,
C:\Users\HP\Desktop\dossier fourtout\DOSSIER PASSATION VNY\DOSSIER EXECUTION\DOSSIER EXECUTION\plans\TRANCHE 05\essai.dwg,Model,20/11/2025 16:42:31,HP,PublishToWeb PNG (Transparent).pc3,Sun Hi-Res (1600.00 x 1280.00 Pixels),1:0.03125,
C:\Users\HP\Desktop\dossier fourtout\DOSSIER PASSATION VNY\DOSSIER EXECUTION\DOSSIER EXECUTION\plans\TRANCHE 05\essai.dwg,Model,20/11/2025 16:57:10,HP,PublishToWeb PNG (Transparent).pc3,Sun Hi-Res (1600.00 x 1280.00 Pixels),1:0.03125,
C:\Users\HP\Desktop\dossier fourtout\DOSSIER PASSATION VNY\DOSSIER EXECUTION\DOSSIER EXECUTION\plans\TRANCHE 05\essai.dwg,Model,20/11/2025 17:00:54,HP,PublishToWeb PNG (Transparent).pc3,Sun Hi-Res (1600.00 x 1280.00 Pixels),1:0.03125,
C:\Users\HP\OneDrive - persoWen\documents\DATA WEN\BOULOT\ABIDJAN CGE IMMO\TERRASSES D AGHIEN\PLANS TERRASSE AGHIEN\PLANS ARCHI R+1 AGHIEN  FINAL\Plan Archi DWG MaJ\00_Plans niveaux DWG\04_Plan RDC MaJ.dwg,Model,20/11/2025 17:42:05,HP,PublishToWeb PNG (Transparent).pc3,Sun Hi-Res (1600.00 x 1280.00 Pixels),1:0.0299436,
C:\Users\HP\OneDrive - persoWen\documents\DATA WEN\BOULOT\ABIDJAN CGE IMMO\TERRASSES D AGHIEN\PLANS TERRASSE AGHIEN\04_Plan RDC MaJ.dwg,Model,20/11/2025 19:48:50,HP,PublishToWeb PNG.pc3,Sun Hi-Res (1600.00 x 1280.00 Pixels),1:0.0330186,
C:\Users\HP\Desktop\04_Plan RDC MaJ_1_26046_6348e706.sv$.dwg,Model,21/11/2025 08:17:31,HP,PublishToWeb PNG (Transparent).pc3,Sun Hi-Res (1600.00 x 1280.00 Pixels),1:0.03302,
C:\Users\HP\Desktop\04_Plan RDC MaJ_1_26046_6348e706.sv$.dwg,Model,21/11/2025 08:46:09,HP,PublishToWeb PNG (Transparent).pc3,Sun Hi-Res (1600.00 x 1280.00 Pixels),1:0.03302,
C:\Users\HP\Desktop\04_Plan RDC MaJ_1_26046_6348e706.sv$.dwg,Model,21/11/2025 08:51:38,HP,PublishToWeb PNG (Transparent).pc3,Sun Hi-Res (1600.00 x 1280.00 Pixels),1:0.03302,
C:\Users\HP\Desktop\04_Plan RDC MaJ_1_26046_6348e706.sv$.dwg,Model,21/11/2025 08:53:00,HP,PublishToWeb PNG (Transparent).pc3,Sun Hi-Res (1600.00 x 1280.00 Pixels),1:0.03302,
C:\Users\HP\Desktop\04_Plan RDC MaJ_1_26046_6348e706.sv$.dwg,Model,21/11/2025 09:27:24,HP,PublishToWeb PNG (Transparent).pc3,wen (720.00 x 800.00 Pixels),20:1,
C:\Users\HP\Desktop\04_Plan RDC MaJ_1_26046_6348e706.sv$.dwg,Model,21/11/2025 09:38:43,HP,PublishToWeb PNG (Transparent).pc3,wen (1800.00 x 2000.00 Pixels),50:1,
C:\Users\HP\Desktop\04_Plan RDC MaJ_1_26046_6348e706.sv$.dwg,Model,21/11/2025 12:30:35,HP,PublishToWeb PNG (Transparent).pc3,wen (1800.00 x 2200.00 Pixels),50:1,
